Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
207,Toma Baši?\Toma-Basic,hr CRO,MF,Bordeaux,fr Ligue 1,21,1996,23,16,1333,14.8,2,0,2,0,0,3,0,0.14,0.00,0.14,0.14,0.14,1.3,1.3,2.2,3.5,0.09,0.15,0.23,0.09,0.23,Matches
208,Thomas Basila\Thomas-Basila,fr FRA,DF,Nantes,fr Ligue 1,19,1999,2,1,92,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
209,Borja Bastón\Borja-Baston,es ESP,FW,Alavés,es La Liga,25,1992,27,18,1439,16.0,5,1,5,0,0,4,0,0.31,0.06,0.38,0.31,0.38,5.7,5.7,1.1,6.7,0.35,0.07,0.42,0.35,0.42,Matches
210,Alessandro Bastoni\Alessandro-Bastoni,it ITA,DF,Parma,it Serie A,19,1999,24,18,1690,18.8,1,0,1,0,0,2,0,0.05,0.00,0.05,0.05,0.05,0.6,0.6,0.2,0.8,0.03,0.01,0.05,0.03,0.05,Matches
211,Bastos\Bastos,ao ANG,DF,Lazio,it Serie A,27,1991,18,11,1139,12.7,1,0,1,0,0,3,0,0.08,0.00,0.08,0.08,0.08,0.9,0.9,0.0,0.9,0.07,0.00,0.07,0.07,0.07,Matches
212,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Valencia,es La Liga,24,1993,15,4,527,5.9,1,0,1,0,0,3,0,0.17,0.00,0.17,0.17,0.17,2.3,2.3,0.7,2.9,0.39,0.12,0.50,0.39,0.50,Matches
213,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Crystal Palace,eng Premier League,24,1993,11,9,750,8.3,5,0,5,0,0,0,0,0.60,0.00,0.60,0.60,0.60,3.5,3.5,0.1,3.6,0.43,0.01,0.43,0.43,0.43,Matches
214,Robert Bauer\Robert-Bauer,de GER,DF,Nürnberg,de Bundesliga,23,1995,22,19,1722,19.1,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.6,0.9,0.01,0.03,0.05,0.01,0.05,Matches
215,Oliver Baumann\Oliver-Baumann,de GER,GK,Hoffenheim,de Bundesliga,28,1990,33,33,2970,33.0,0,1,0,0,0,0,0,0.00,0.03,0.03,0.00,0.03,0.0,0.0,0.6,0.6,0.00,0.02,0.02,0.00,0.02,Matches
216,Timo Baumgartl\Timo-Baumgartl,de GER,DF,Stuttgart,de Bundesliga,22,1996,18,18,1620,18.0,1,0,1,0,0,2,0,0.06,0.00,0.06,0.06,0.06,0.2,0.2,0.0,0.3,0.01,0.00,0.01,0.01,0.01,Matches
217,Julian Baumgartlinger\Julian-Baumgartlinger,at AUT,MF,Leverkusen,de Bundesliga,30,1988,21,16,1559,17.3,0,1,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,0.9,0.9,0.9,1.7,0.05,0.05,0.10,0.05,0.10,Matches
